"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1",2007-02-01,"00:00:00","0.326","0.128","243.150","1.400","0.000","0.000",0
"2",2007-02-01,"00:01:00","0.326","0.130","243.320","1.400","0.000","0.000",0
"3",2007-02-01,"00:02:00","0.324","0.132","243.510","1.400","0.000","0.000",0
"4",2007-02-01,"00:03:00","0.324","0.134","243.900","1.400","0.000","0.000",0
"5",2007-02-01,"00:04:00","0.322","0.130","243.160","1.400","0.000","0.000",0
"6",2007-02-01,"00:05:00","0.320","0.126","242.290","1.400","0.000","0.000",0
"7",2007-02-01,"00:06:00","0.320","0.126","242.460","1.400","0.000","0.000",0
"8",2007-02-01,"00:07:00","0.320","0.126","242.630","1.400","0.000","0.000",0
"9",2007-02-01,"00:08:00","0.320","0.128","242.700","1.400","0.000","0.000",0
"10",2007-02-01,"00:09:00","0.236","0.000","242.890","1.000","0.000","0.000",0
"11",2007-02-01,"00:10:00","0.226","0.000","243.000","1.000","0.000","0.000",0
"12",2007-02-01,"00:11:00","0.224","0.000","242.500","1.000","0.000","0.000",0
"13",2007-02-01,"00:12:00","0.224","0.000","242.180","1.000","0.000","0.000",0
"14",2007-02-01,"00:13:00","0.224","0.000","242.150","1.000","0.000","0.000",0
"15",2007-02-01,"00:14:00","0.224","0.000","242.730","1.000","0.000","0.000",0
"16",2007-02-01,"00:15:00","0.260","0.000","242.850","1.200","0.000","0.000",0
"17",2007-02-01,"00:16:00","0.304","0.096","242.890","1.200","0.000","0.000",0
"18",2007-02-01,"00:17:00","0.302","0.096","242.870","1.200","0.000","0.000",0
"19",2007-02-01,"00:18:00","0.302","0.094","242.190","1.200","0.000","0.000",0
"20",2007-02-01,"00:19:00","0.300","0.094","242.230","1.200","0.000","0.000",0
"21",2007-02-01,"00:20:00","0.300","0.094","242.160","1.200","0.000","0.000",0
"22",2007-02-01,"00:21:00","0.298","0.094","242.290","1.200","0.000","0.000",0
"23",2007-02-01,"00:22:00","0.298","0.094","242.470","1.200","0.000","0.000",0
"24",2007-02-01,"00:23:00","0.296","0.094","242.320","1.200","0.000","0.000",0
"25",2007-02-01,"00:24:00","0.296","0.096","242.980","1.200","0.000","0.000",0
"26",2007-02-01,"00:25:00","0.298","0.100","243.650","1.200","0.000","0.000",0
"27",2007-02-01,"00:26:00","0.228","0.000","243.550","1.000","0.000","0.000",0
"28",2007-02-01,"00:27:00","0.226","0.000","243.110","1.000","0.000","0.000",0
"29",2007-02-01,"00:28:00","0.226","0.000","243.090","1.000","0.000","0.000",0
"30",2007-02-01,"00:29:00","0.226","0.000","243.050","1.000","0.000","0.000",0
"31",2007-02-01,"00:30:00","0.226","0.000","243.220","1.000","0.000","0.000",0
"32",2007-02-01,"00:31:00","0.226","0.000","243.370","1.000","0.000","0.000",0
"33",2007-02-01,"00:32:00","0.226","0.000","243.140","1.000","0.000","0.000",0
"34",2007-02-01,"00:33:00","0.226","0.000","243.120","1.000","0.000","0.000",0
"35",2007-02-01,"00:34:00","0.322","0.094","242.740","1.400","0.000","0.000",0
"36",2007-02-01,"00:35:00","0.336","0.126","242.590","1.400","0.000","0.000",0
"37",2007-02-01,"00:36:00","0.332","0.126","242.910","1.400","0.000","0.000",0
"38",2007-02-01,"00:37:00","0.332","0.130","243.510","1.400","0.000","0.000",0
"39",2007-02-01,"00:38:00","0.330","0.130","243.650","1.400","0.000","0.000",0
"40",2007-02-01,"00:39:00","0.328","0.128","243.370","1.400","0.000","0.000",0
"41",2007-02-01,"00:40:00","0.328","0.130","243.790","1.400","0.000","0.000",0
"42",2007-02-01,"00:41:00","0.326","0.128","243.230","1.400","0.000","0.000",0
"43",2007-02-01,"00:42:00","0.324","0.126","242.980","1.400","0.000","0.000",0
"44",2007-02-01,"00:43:00","0.322","0.126","242.950","1.400","0.000","0.000",0
"45",2007-02-01,"00:44:00","0.322","0.124","242.600","1.400","0.000","0.000",0
"46",2007-02-01,"00:45:00","0.322","0.128","243.330","1.400","0.000","0.000",0
"47",2007-02-01,"00:46:00","0.318","0.118","241.320","1.400","0.000","0.000",0
"48",2007-02-01,"00:47:00","0.316","0.116","240.930","1.400","0.000","0.000",0
"49",2007-02-01,"00:48:00","0.316","0.116","240.930","1.400","0.000","0.000",0
"50",2007-02-01,"00:49:00","0.274","0.058","240.360","1.200","0.000","0.000",0
"51",2007-02-01,"00:50:00","0.222","0.000","240.930","1.000","0.000","0.000",0
"52",2007-02-01,"00:51:00","0.222","0.000","240.830","1.000","0.000","0.000",0
"53",2007-02-01,"00:52:00","0.222","0.000","240.520","1.000","0.000","0.000",0
"54",2007-02-01,"00:53:00","0.224","0.000","241.450","1.000","0.000","0.000",0
"55",2007-02-01,"00:54:00","0.224","0.000","241.590","1.000","0.000","0.000",0
"56",2007-02-01,"00:55:00","0.226","0.000","242.550","1.000","0.000","0.000",0
"57",2007-02-01,"00:56:00","0.226","0.000","242.880","1.000","0.000","0.000",0
"58",2007-02-01,"00:57:00","0.226","0.000","242.630","1.000","0.000","0.000",0
"59",2007-02-01,"00:58:00","0.224","0.000","242.200","1.000","0.000","0.000",0
"60",2007-02-01,"00:59:00","0.224","0.000","241.840","1.000","0.000","0.000",0
"61",2007-02-01,"01:00:00","0.222","0.000","240.890","1.000","0.000","0.000",0
"62",2007-02-01,"01:01:00","0.222","0.000","240.860","1.000","0.000","0.000",0
"63",2007-02-01,"01:02:00","0.260","0.000","240.640","1.200","0.000","0.000",0
"64",2007-02-01,"01:03:00","0.298","0.088","240.720","1.200","0.000","0.000",0
"65",2007-02-01,"01:04:00","0.302","0.094","242.180","1.200","0.000","0.000",0
"66",2007-02-01,"01:05:00","0.302","0.096","242.660","1.200","0.000","0.000",0
"67",2007-02-01,"01:06:00","0.302","0.096","242.770","1.200","0.000","0.000",0
"68",2007-02-01,"01:07:00","0.300","0.096","242.600","1.200","0.000","0.000",0
"69",2007-02-01,"01:08:00","0.298","0.094","242.380","1.200","0.000","0.000",0
"70",2007-02-01,"01:09:00","0.298","0.094","242.210","1.200","0.000","0.000",0
"71",2007-02-01,"01:10:00","0.296","0.096","242.610","1.200","0.000","0.000",0
"72",2007-02-01,"01:11:00","0.296","0.094","242.240","1.200","0.000","0.000",0
"73",2007-02-01,"01:12:00","0.258","0.000","242.660","1.000","0.000","0.000",0
"74",2007-02-01,"01:13:00","0.226","0.000","242.990","1.000","0.000","0.000",0
"75",2007-02-01,"01:14:00","0.228","0.000","243.530","1.000","0.000","0.000",0
"76",2007-02-01,"01:15:00","0.316","0.088","243.120","1.400","0.000","0.000",0
"77",2007-02-01,"01:16:00","0.434","0.252","242.830","2.200","0.000","0.000",0
"78",2007-02-01,"01:17:00","0.418","0.254","243.080","2.000","0.000","2.000",0
"79",2007-02-01,"01:18:00","0.414","0.254","243.350","2.000","0.000","1.000",0
"80",2007-02-01,"01:19:00","0.412","0.252","242.710","2.000","0.000","1.000",0
"81",2007-02-01,"01:20:00","0.410","0.246","241.630","2.000","0.000","2.000",0
"82",2007-02-01,"01:21:00","0.408","0.246","241.860","2.000","0.000","1.000",0
"83",2007-02-01,"01:22:00","0.408","0.248","242.170","2.000","0.000","2.000",0
"84",2007-02-01,"01:23:00","0.404","0.244","241.700","2.000","0.000","1.000",0
"85",2007-02-01,"01:24:00","0.402","0.242","241.140","1.800","0.000","1.000",0
"86",2007-02-01,"01:25:00","0.402","0.244","241.410","1.800","0.000","2.000",0
"87",2007-02-01,"01:26:00","0.402","0.246","241.950","1.800","0.000","1.000",0
"88",2007-02-01,"01:27:00","0.402","0.248","242.360","1.800","0.000","2.000",0
"89",2007-02-01,"01:28:00","0.402","0.250","242.600","1.800","0.000","1.000",0
"90",2007-02-01,"01:29:00","0.398","0.246","242.110","1.800","0.000","1.000",0
"91",2007-02-01,"01:30:00","0.336","0.156","241.880","1.600","0.000","2.000",0
"92",2007-02-01,"01:31:00","0.300","0.104","240.780","1.200","0.000","1.000",0
"93",2007-02-01,"01:32:00","0.300","0.104","240.680","1.200","0.000","1.000",0
"94",2007-02-01,"01:33:00","0.300","0.106","240.870","1.200","0.000","2.000",0
"95",2007-02-01,"01:34:00","0.298","0.106","241.000","1.200","0.000","1.000",0
"96",2007-02-01,"01:35:00","0.298","0.106","240.970","1.200","0.000","1.000",0
"97",2007-02-01,"01:36:00","0.298","0.106","241.090","1.200","0.000","1.000",0
"98",2007-02-01,"01:37:00","0.298","0.106","241.100","1.200","0.000","2.000",0
